grid_index,age,probability,centile,quantile
0,12.29,0.004,0.4,49.7534147892768
0,12.29,0.02,2,52.3885097259301
0,12.29,0.09,9,55.6931139487424
0,12.29,0.25,25,58.950366442393
0,12.29,0.5,50,62.4224175598204
0,12.29,0.75,75,66.0784210377619
0,12.29,0.91,91,69.8789220658125
0,12.29,0.98,98,74.1640277741105
0,12.29,0.996,99.6,77.9418364622097
1,12.5411666666667,0.004,0.4,52.1360423499881
1,12.5411666666667,0.02,2,54.8868850629995
1,12.5411666666667,0.09,9,58.3406004782216
1,12.5411666666667,0.25,25,61.7491463922809
1,12.5411666666667,0.5,50,65.3871868853785
1,12.5411666666667,0.75,75,69.2232191693879
1,12.5411666666667,0.91,91,73.216533480565
1,12.5411666666667,0.98,98,77.7259101849436
1,12.5411666666667,0.996,99.6,81.7074190471889
2,12.7923333333333,0.004,0.4,54.5254784153694
2,12.7923333333333,0.02,2,57.3901515568574
2,12.7923333333333,0.09,9,60.9908159018147
2,12.7923333333333,0.25,25,64.5488161158692
2,12.7923333333333,0.5,50,68.3512360499154
2,12.7923333333333,0.75,75,72.3660256252404
2,12.7923333333333,0.91,91,76.5513265088062
2,12.7923333333333,0.98,98,81.2846883606761
2,12.7923333333333,0.996,99.6,85.470246715402
3,13.0435,0.004,0.4,56.9235718645814
3,13.0435,0.02,2,59.8997675729238
3,13.0435,0.09,9,63.6446906447269
3,13.0435,0.25,25,67.3497474119896
3,13.0435,0.5,50,71.3143037379001
3,13.0435,0.75,75,75.5058754045864
3,13.0435,0.91,91,79.881570206055
3,13.0435,0.98,98,84.8377334047419
3,13.0435,0.996,99.6,89.2268757077854
4,13.2946666666667,0.004,0.4,59.3325495817859
4,13.2946666666667,0.02,2,62.4174989405591
4,13.2946666666667,0.09,9,66.3033651402219
4,13.2946666666667,0.25,25,70.152415933799
4,13.2946666666667,0.5,50,74.2761080035342
4,13.2946666666667,0.75,75,78.641638899502
4,13.2946666666667,0.91,91,83.2052051301202
4,13.2946666666667,0.98,98,88.3818856193173
4,13.2946666666667,0.996,99.6,92.9731377194849
5,13.5458333333333,0.004,0.4,61.7547767975645
5,13.5458333333333,0.02,2,64.9452310102867
5,13.5458333333333,0.09,9,68.9680697534444
5,13.5458333333333,0.25,25,72.9573509029815
5,13.5458333333333,0.5,50,77.2363731149536
5,13.5458333333333,0.75,75,81.772132544685
5,13.5458333333333,0.91,91,86.5200434267316
5,13.5458333333333,0.98,98,91.9137576546442
5,13.5458333333333,0.996,99.6,96.7045353618424
6,13.797,0.004,0.4,64.1927448936306
6,13.797,0.02,2,67.4849484496071
6,13.797,0.09,9,71.6400944924828
6,13.797,0.25,25,75.7650947357032
6,13.797,0.5,50,80.1947781339614
6,13.797,0.75,75,84.8960552585602
6,13.797,0.91,91,89.8236918827241
6,13.797,0.98,98,95.429641225099
6,13.797,0.996,99.6,100.416133108418
7,14.0481666666667,0.004,0.4,66.6489474452796
7,14.0481666666667,0.02,2,70.0386157561066
7,14.0481666666667,0.09,9,74.3206766376263
7,14.0481666666667,0.25,25,78.5760992003945
7,14.0481666666667,0.5,50,83.1508636490308
7,14.0481666666667,0.75,75,88.0119077524741
7,14.0481666666667,0.91,91,93.1134856125313
7,14.0481666666667,0.98,98,98.9254582378261
7,14.0481666666667,0.996,99.6,104.102524549872
8,14.2993333333333,0.004,0.4,69.1259647570537
