observation,age,mu,sigma,nu
0,12.29,62.4224175598136,0.0846160096035425,0.0954326307444626
1,12.29,62.4224175598208,0.084616009603537,0.0954326307445537
2,12.29,62.4224175598206,0.0846160096035369,0.0954326307445557
3,12.43,64.0750451720028,0.0846654189440809,0.0825823285068665
4,12.71,67.3797041567457,0.0847319369557737,0.0567770706411115
5,12.71,67.3797041567457,0.0847319369557737,0.0567770706411119
6,12.71,67.3797041567457,0.0847319369557737,0.0567770706411121
7,12.86,69.1496233443273,0.0847460565869475,0.0428764617283806
8,12.86,69.1496233443274,0.0847460565869475,0.0428764617283797
9,12.86,69.1496233443273,0.0847460565869475,0.0428764617283801
10,13,70.8012075965205,0.0847433078989014,0.0298425551182455
11,13,70.8012075965205,0.0847433078989014,0.0298425551182455
12,13.14,72.4524142859617,0.0847234543946994,0.0167420178757531
13,13.14,72.4524142859617,0.0847234543946994,0.0167420178757505
14,13.29,74.2210909838749,0.0846812985071176,0.00262213979023929
15,13.29,74.2210909838749,0.0846812985071177,0.0026221397902394
16,13.43,75.8713634062856,0.0846207008793696,-0.0106434340664467
17,13.43,75.8713634062856,0.0846207008793696,-0.0106434340664454
18,13.43,75.8713634062856,0.0846207008793697,-0.0106434340664451
19,13.43,75.8713634062856,0.0846207008793697,-0.0106434340664451
20,13.43,75.8713634062856,0.0846207008793696,-0.0106434340664454
21,13.57,77.5211111480896,0.0845379045196843,-0.0240017285176594
22,13.57,77.5211111480896,0.0845379045196843,-0.0240017285176592
23,13.71,79.1702730656661,0.0844313143138277,-0.037461618618174
24,13.71,79.170273065666,0.0844313143138278,-0.0374616186181738
25,13.86,80.9364884767417,0.0842889663650887,-0.0520064490839598
26,13.86,80.9364884767417,0.0842889663650887,-0.0520064490839598
27,14,82.5841725218495,0.0841282541513661,-0.0657070280972074
28,14,82.5841725218495,0.0841282541513661,-0.0657070280972074
29,14,82.5841725218495,0.0841282541513661,-0.0657070280972074
30,14.29,85.9944546704078,0.0837034418351395,-0.0945138892707238
31,14.29,85.9944546704078,0.0837034418351395,-0.094513889270722
32,14.29,85.9944546704078,0.0837034418351394,-0.094513889270722
33,14.29,85.9944546704078,0.0837034418351394,-0.0945138892707242
34,14.43,87.6392809802717,0.0834510935799792,-0.108646720284469
35,14.43,87.6392809802717,0.0834510935799792,-0.108646720284469
36,14.43,87.6392809802717,0.0834510935799792,-0.108646720284469
