model,observation,mu,sigma,variance
PO,0,0.946918195741152,0,0.946918195741152
PO,1,0.973790100072356,0,0.973790100072356
PO,2,1.00130767000273,0,1.00130767000273
PO,3,1.02936399455562,0,1.02936399455562
PO,4,1.05784220907046,0,1.05784220907046
PO,5,1.08661693666412,0,1.08661693666412
PO,6,1.11555608039222,0,1.11555608039222
PO,7,1.14452294805401,0,1.14452294805401
PO,8,1.17337867530843,0,1.17337867530843
PO,9,1.20198489654839,0,1.20198489654839
PO,10,1.23020659786381,0,1.23020659786381
PO,11,1.25791507349189,0,1.25791507349189
PO,12,1.28499089742765,0,1.28499089742765
PO,13,1.31132681620806,0,1.31132681620806
PO,14,1.33683046790753,0,1.33683046790753
PO,15,1.36142683638337,0,1.36142683638337
PO,16,1.38506035871919,0,1.38506035871919
PO,17,1.40769661718783,0,1.40769661718783
PO,18,1.42932356410038,0,1.42932356410038
PO,19,1.44995224754827,0,1.44995224754827
PO,20,1.46961702700929,0,1.46961702700929
PO,21,1.48837528872263,0,1.48837528872263
PO,22,1.50630669032049,0,1.50630669032049
PO,23,1.52351198125884,0,1.52351198125884
PO,24,1.5401114591734,0,1.5401114591734
PO,25,1.55624313175643,0,1.55624313175643
PO,26,1.57206065879212,0,1.57206065879212
PO,27,1.5877311496191,0,1.5877311496191
PO,28,1.60343288782269,0,1.60343288782269
PO,29,1.61935304795316,0,1.61935304795316
PO,30,1.63568545925221,0,1.63568545925221
PO,31,1.65262845957786,0,1.65262845957786
PO,32,1.67038286980652,0,1.67038286980652
PO,33,1.68915010578217,0,1.68915010578217
PO,34,1.70913043211658,0,1.70913043211658
PO,35,1.73052135044539,0,1.73052135044539
PO,36,1.75351610460862,0,1.75351610460862
PO,37,1.77830227701621,0,1.77830227701621
PO,38,1.80506044442613,0,1.80506044442613
PO,39,1.83396285765207,0,1.83396285765207
PO,40,1.86517210839653,0,1.86517210839653
PO,41,1.89883974748515,0,1.89883974748515
PO,42,1.93510482222789,0,1.93510482222789
PO,43,1.974092306393,0,1.974092306393
PO,44,2.01591140426191,0,2.01591140426191
PO,45,2.06065372031808,0,2.06065372031808
PO,46,2.10839129814073,0,2.10839129814073
PO,47,2.15917454579337,0,2.15917454579337
PO,48,2.21303008008823,0,2.21303008008823
PO,49,2.2699585381308,0,2.2699585381308
PO,50,2.32993242092031,0,2.32993242092031
PO,51,2.39289404976962,0,2.39289404976962
PO,52,2.45875373102284,0,2.45875373102284
PO,53,2.52738823696612,0,2.52738823696612
PO,54,2.59863971982226,0,2.59863971982226
PO,55,2.67231518012873,0,2.67231518012873
PO,56,2.74818660950629,0,2.74818660950629
PO,57,2.82599191986465,0,2.82599191986465
PO,58,2.90543675576744,0,2.90543675576744
PO,59,2.98619726368257,0,2.98619726368257
PO,60,3.06792386136931,0,3.06792386136931
PO,61,3.15024601347193,0,3.15024601347193
PO,62,3.23277797689861,0,3.23277797689861
PO,63,3.31512543376499,0,3.31512543376499
PO,64,3.39689288310213,0,3.39689288310213
PO,65,3.47769161807684,0,3.47769161807684
PO,66,3.55714807622382,0,3.55714807622382
PO,67,3.63491231913874,0,3.63491231913874
PO,68,3.71066637786531,0,3.71066637786531
PO,69,3.78413219284056,0,3.78413219284056
PO,70,3.85507888390267,0,3.85507888390267
PO,71,3.9233291066734,0,3.9233291066734
PO,72,3.98876428568758,0,3.98876428568758
PO,73,4.05132856001595,0,4.05132856001595
PO,74,4.11103133099192,0,4.11103133099192
PO,75,4.16794836053667,0,4.16794836053667
PO,76,4.22222142866777,0,4.22222142866777
PO,77,4.27405661624132,0,4.27405661624132
PO,78,4.32372133029563,0,4.32372133029563
PO,79,4.37154023160336,0,4.37154023160336
PO,80,4.41789025506612,0,4.41789025506612
PO,81,4.46319493219289,0,4.46319493219289
PO,82,4.50791823082878,0,4.50791823082878
PO,83,4.55255812117175,0,4.55255812117175
NBI,0,0.900026155261261,0.142279996434351,1.01527965093728
NBI,1,0.926537027392931,0.142486943024836,1.04885791635624
NBI,2,0.953717438948628,0.143109803037359,1.08388681759054
NBI,3,0.981467471637746,0.14415463926347,1.12032852159486
NBI,4,1.00967728367847,0.145631562380751,1.15814112031214
NBI,5,1.03822843619083,0.147554736882554,1.19728038522044
NBI,6,1.06699556352233,0.149942382932894,1.23770189755715
NBI,7,1.09584837270901,0.152816767170736,1.27936353076236
NBI,8,1.12465394154018,0.156204172766988,1.32222824091011
NBI,9,1.15327926886588,0.16013483582247,1.3662670991851
NBI,10,1.18159401586893,0.164642831440668,1.41146247886069
NBI,11,1.20947336406913,0.16976588851799,1.45781128887563
NBI,12,1.23680090583735,0.17554510753641,1.50532812813426
NBI,13,1.26347147703592,0.18202455057843,1.55404822013912
NBI,14,1.28939383970165,0.189250667689602,1.60402997743808
NBI,15,1.31449312578133,0.197271519015182,1.65535704037587
NBI,16,1.33871296079959,0.206135748440607,1.70813963532309
NBI,17,1.3620171986062,0.215891262580957,1.76251510426376
NBI,18,1.38439121429219,0.226583569920182,1.81864747055473
NBI,19,1.40584272097537,0.23825373992693,1.87672592493907
NBI,20,1.42640209622995,0.250935952449462,1.9369621415868
NBI,21,1.4461222241697,0.264654625034799,1.99958636616126
NBI,22,1.46507787830687,0.279421131302916,2.06484225680688
NBI,23,1.48336468713953,0.295230158010485,2.13298050464456
NBI,24,1.50109773802523,0.312055792101177,2.20425131281603
NBI,25,1.51840988461688,0.329847480880428,2.27889587196903
NBI,26,1.53544982861941,0.348526065981204,2.35713703434595
NBI,27,1.55238004784459,0.367980150685368,2.43916945646669
NBI,28,1.56937463975924,0.388063114149715,2.52514954876739
NBI,29,1.58661714344178,0.408591127067832,2.61518563513102
NBI,30,1.60429839376638,0.429342541951905,2.7093287803563
NBI,31,1.62261445050734,0.450059018021895,2.80756478248629
NBI,32,1.64176463272298,0.47044868743215,2.90980784219065
NBI,33,1.66194967603438,0.490191571176114,3.01589640589991
NBI,34,1.68337001798454,0.508947309437156,3.12559162719427
NBI,35,1.70622420516876,0.526365088907962,3.23857879852448
NBI,36,1.73070740576529,0.54209544249746,3.35447197268003
NBI,37,1.75701000284467,0.555803385538126,3.47282182490923
NBI,38,1.78531623765962,0.567182162676889,3.59312661142071
NBI,39,1.81580286818249,0.575966738262607,3.71484587188925
NBI,40,1.84863780655527,0.581946094705379,3.83741631985176
NBI,41,1.88397869988372,0.584973425173978,3.96026918468599
NBI,42,1.92197142193574,0.584973425173978,4.08284813105699
NBI,43,1.96274844876127,0.581946094705379,4.20462680235576
NBI,44,2.00642709897224,0.575966738262607,4.32512502475313
NBI,45,2.05310762931065,0.567182162676889,4.44392277228675
NBI,46,2.10287118804551,0.555803385538126,4.56067112750867
NBI,47,2.15577764246165,0.542095442497458,4.67509966585817
NBI,48,2.21186331192781,0.526365088907962,4.78701992814719
NBI,49,2.27113865432997,0.508947309437155,4.8963249033576
NBI,50,2.33358597045707,0.490191571176114,5.002984700894
NBI,51,2.39915720749763,0.47044868743215,5.10703882625887
NBI,52,2.46777195825474,0.450059018021895,5.20858566909089
NBI,53,2.53931576596888,0.429342541951905,5.30776995508045
NBI,54,2.61363885459985,0.408591127067858,5.40476899688671
NBI,55,2.69055540985347,0.388063114149715,5.4997786031982
NBI,56,2.76984353597266,0.367980150685365,5.59299947403868
NBI,57,2.85124600631176,0.348526065981204,5.6846248327066
NBI,58,2.93447191120365,0.329847480880429,5.77482993116173
NBI,59,3.01919928422235,0.312055792101177,5.86376392787787
NBI,60,3.10507875775193,0.295230158010486,5.95154448654685
NBI,61,3.19173826149834,0.279421131302915,6.03825529065975
NBI,62,3.27878873456746,0.264654625034799,6.12394652132101
NBI,63,3.36583077495494,0.250935952449461,6.20863821020212
NBI,64,3.45246210228267,0.23825373992693,6.29232626107547
NBI,65,3.53828566332133,0.226583569920182,6.37499083513607
NBI,66,3.62291816841088,0.215891262580957,6.45660671937705
