model,observation,probability,centile,quantile
PO,0,0.05,5,0
PO,0,0.5,50,1
PO,0,0.95,95,3
PO,7,0.05,5,0
PO,7,0.5,50,1
PO,7,0.95,95,3
PO,14,0.05,5,0
PO,14,0.5,50,1
PO,14,0.95,95,3
PO,21,0.05,5,0
PO,21,0.5,50,1
PO,21,0.95,95,4
PO,28,0.05,5,0
PO,28,0.5,50,1
PO,28,0.95,95,4
PO,35,0.05,5,0
PO,35,0.5,50,2
PO,35,0.95,95,4
PO,42,0.05,5,0
PO,42,0.5,50,2
PO,42,0.95,95,4
PO,49,0.05,5,0
PO,49,0.5,50,2
PO,49,0.95,95,5
PO,56,0.05,5,0
PO,56,0.5,50,3
PO,56,0.95,95,6
PO,63,0.05,5,1
PO,63,0.5,50,3
PO,63,0.95,95,7
PO,70,0.05,5,1
PO,70,0.5,50,4
PO,70,0.95,95,7
PO,77,0.05,5,1
PO,77,0.5,50,4
PO,77,0.95,95,8
NBI,0,0.05,5,0
NBI,0,0.5,50,1
NBI,0,0.95,95,3
NBI,7,0.05,5,0
NBI,7,0.5,50,1
NBI,7,0.95,95,3
NBI,14,0.05,5,0
NBI,14,0.5,50,1
NBI,14,0.95,95,4
NBI,21,0.05,5,0
NBI,21,0.5,50,1
NBI,21,0.95,95,4
NBI,28,0.05,5,0
NBI,28,0.5,50,1
NBI,28,0.95,95,5
NBI,35,0.05,5,0
NBI,35,0.5,50,1
NBI,35,0.95,95,5
NBI,42,0.05,5,0
NBI,42,0.5,50,1
NBI,42,0.95,95,6
NBI,49,0.05,5,0
NBI,49,0.5,50,2
NBI,49,0.95,95,7
NBI,56,0.05,5,0
NBI,56,0.5,50,2
NBI,56,0.95,95,7
NBI,63,0.05,5,0
NBI,63,0.5,50,3
NBI,63,0.95,95,8
NBI,70,0.05,5,0
NBI,70,0.5,50,4
NBI,70,0.95,95,9
NBI,77,0.05,5,1
NBI,77,0.5,50,4
NBI,77,0.95,95,9
