observation,mu,sigma,nu
0,0.988960339736109,0.587624024888585,0.343376303772533
1,0.998759674045698,0.587624024888587,0.343376303772526
2,1.00865610724698,0.587624024888587,0.343376303772525
3,1.01865060146599,0.587624024888587,0.343376303772526
4,1.02874412836223,0.587624024888587,0.343376303772526
5,1.03893766922307,0.587624024888587,0.343376303772525
6,1.04923221505922,0.587624024888587,0.343376303772526
7,1.05962876670102,0.587624024888587,0.343376303772526
8,1.07012833489578,0.587624024888587,0.343376303772525
9,1.08073194040599,0.587624024888587,0.343376303772526
10,1.09144061410864,0.587624024888587,0.343376303772526
11,1.10225539709536,0.587624024888587,0.343376303772526
12,1.11317734077368,0.587624024888587,0.343376303772526
13,1.12420750696924,0.587624024888587,0.343376303772525
14,1.13534696802901,0.587624024888587,0.343376303772526
15,1.14659680692555,0.587624024888587,0.343376303772525
16,1.15795811736231,0.587624024888587,0.343376303772526
17,1.16943200387991,0.587624024888587,0.343376303772526
18,1.18101958196359,0.587624024888586,0.343376303772526
19,1.19272197815162,0.587624024888587,0.343376303772526
20,1.20454033014481,0.587624024888587,0.343376303772525
21,1.21647578691715,0.587624024888587,0.343376303772526
22,1.22852950882748,0.587624024888587,0.343376303772526
23,1.24070266773233,0.587624024888587,0.343376303772526
24,1.25299644709982,0.587624024888587,0.343376303772526
25,1.26541204212474,0.587624024888587,0.343376303772526
26,1.27795065984471,0.587624024888587,0.343376303772525
27,1.29061351925758,0.587624024888586,0.343376303772526
28,1.3034018514399,0.587624024888587,0.343376303772525
29,1.31631689966662,0.587624024888587,0.343376303772525
30,1.32935991953195,0.587624024888587,0.343376303772526
31,1.34253217907144,0.587624024888587,0.343376303772526
32,1.35583495888526,0.587624024888587,0.343376303772526
33,1.36926955226269,0.587624024888587,0.343376303772526
34,1.38283726530783,0.587624024888587,0.343376303772525
35,1.39653941706665,0.587624024888587,0.343376303772526
36,1.41037733965515,0.587624024888587,0.343376303772526
37,1.4243523783889,0.587624024888587,0.343376303772526
38,1.43846589191384,0.587624024888587,0.343376303772526
39,1.45271925233836,0.587624024888587,0.343376303772526
40,1.46711384536668,0.587624024888587,0.343376303772526
41,1.48165107043358,0.587624024888587,0.343376303772526
42,1.49633234084046,0.587624024888586,0.343376303772526
43,1.51115908389273,0.587624024888587,0.343376303772526
44,1.52613274103857,0.587624024888587,0.343376303772526
45,1.54125476800908,0.587624024888587,0.343376303772526
46,1.55652663495979,0.587624024888587,0.343376303772526
47,1.57194982661359,0.587624024888587,0.343376303772526
48,1.58752584240509,0.587624024888587,0.343376303772526
49,1.60325619662637,0.587624024888587,0.343376303772526
50,1.61914241857422,0.587624024888587,0.343376303772526
51,1.63518605269881,0.587624024888587,0.343376303772526
52,1.65138865875383,0.587624024888587,0.343376303772526
53,1.66775181194814,0.587624024888587,0.343376303772526
54,1.68427710309892,0.587624024888587,0.343376303772526
55,1.7009661387863,0.587624024888587,0.343376303772526
56,1.71782054150958,0.587624024888587,0.343376303772526
57,1.73484194984495,0.587624024888587,0.343376303772526
58,1.75203201860482,0.587624024888587,0.343376303772526
59,1.76939241899863,0.587624024888587,0.343376303772526
60,1.78692483879542,0.587624024888587,0.343376303772526
61,1.80463098248784,0.587624024888587,0.343376303772526
62,1.8225125714579,0.587624024888587,0.343376303772526
63,1.84057134414429,0.587624024888587,0.343376303772525
64,1.85880905621143,0.587624024888587,0.343376303772525
65,1.87722748072012,0.587624024888587,0.343376303772526
66,1.89582840829993,0.587624024888587,0.343376303772526
67,1.91461364732328,0.587624024888587,0.343376303772526
68,1.93358502408126,0.587624024888587,0.343376303772526
69,1.95274438296116,0.587624024888587,0.343376303772526
70,1.97209358662582,0.587624024888587,0.343376303772526
71,1.99163451619465,0.587624024888587,0.343376303772525
72,2.01136907142659,0.587624024888587,0.343376303772526
73,2.03129917090474,0.587624024888587,0.343376303772526
74,2.05142675222292,0.587624024888587,0.343376303772526
75,2.07175377217404,0.587624024888587,0.343376303772526
76,2.0922822069403,0.587624024888587,0.343376303772526
77,2.11301405228538,0.587624024888587,0.343376303772526
78,2.1339513237484,0.587624024888587,0.343376303772526
79,2.15509605683991,0.587624024888587,0.343376303772526
80,2.17645030723978,0.587624024888587,0.343376303772526
81,2.19801615099702,0.587624024888587,0.343376303772526
82,2.21979568473167,0.587624024888587,0.343376303772526
83,2.24179102583855,0.587624024888587,0.343376303772526
84,2.26400431269321,0.587624024888587,0.343376303772525
85,2.28643770485974,0.587624024888587,0.343376303772526
86,2.30909338330076,0.587624024888587,0.343376303772526
87,2.33197355058945,0.587624024888587,0.343376303772526
88,2.35508043112366,0.587624024888587,0.343376303772526
89,2.37841627134221,0.587624024888587,0.343376303772526
90,2.40198333994324,0.587624024888587,0.343376303772526
91,2.4257839281048,0.587624024888587,0.343376303772526
92,2.4498203497076,0.587624024888587,0.343376303772526
93,2.47409494155992,0.587624024888587,0.343376303772526
94,2.49861006362487,0.587624024888587,0.343376303772526
95,2.52336809924974,0.587624024888587,0.343376303772526
