observation,probability,centile,quantile
0,0.03,3,-2.42807709589097
0,0.5,50,-1.73298818734742
0,0.97,97,-1.03789927880387
1,0.03,3,-2.16227125952924
1,0.5,50,-1.24053323937559
1,0.97,97,-0.318795219221939
2,0.03,3,-1.33026626144193
2,0.5,50,-0.548078291403759
2,0.97,97,0.234109678634416
3,0.03,3,-0.644722970290703
3,0.5,50,0.174376656568073
3,0.97,97,0.993476283426848
4,0.03,3,-0.15908090108645
4,0.5,50,0.616831604539904
4,0.97,97,1.39274411016626
5,0.03,3,0.54250222606055
5,0.5,50,1.41928655251174
5,0.97,97,2.29607087896292
6,0.03,3,1.33733643078667
6,0.5,50,2.11174150048357
6,0.97,97,2.88614657018046
7,0.03,3,1.7468764155419
7,0.5,50,2.6341964484554
7,0.97,97,3.5215164813689
8,0.03,3,2.65039387911773
8,0.5,50,3.36665139642723
8,0.97,97,4.08290891373673
9,0.03,3,2.95653977078565
9,0.5,50,3.86910634439906
9,0.97,97,4.78167291801247
10,0.03,3,3.78926968753673
10,0.5,50,4.61156129237089
10,0.97,97,5.43385289720506
11,0.03,3,4.38306679094719
11,0.5,50,5.19401624034273
11,0.97,97,6.00496568973826
